height,sample_count,optimization_type,size
979000,414,none,2352806
1004000,431,none,2474521
1029000,445,none,2770775
1054000,447,none,2584033
1079000,448,none,2831748
1104000,458,none,2546574
1129000,467,none,2751053
1154000,465,none,2707755
1179000,477,none,3058311
1204000,470,none,2918358
1229000,495,none,3024653
1254000,492,none,3217004
1279000,505,none,3213327
1304000,515,none,3371989
1329000,514,none,3515894
1354000,524,none,3256828
1379000,511,none,3331509
1404000,515,none,3440797
1429000,521,none,3456987
1454000,513,none,3232555
1479000,514,none,3504182
1504000,508,none,3438216
1529000,507,none,3486473
1554000,513,none,3745199
1579000,511,none,3242449
1604000,508,none,2993404
1629000,501,none,3347795
1654000,513,none,3304291
1679000,501,none,3350235
1704000,523,none,2949629
1729000,527,none,3306089
1754000,535,none,3222105
1779000,532,none,3565736
1804000,522,none,3200162
1829000,524,none,3201736
1854000,529,none,3490175
1879000,526,none,3561502
1904000,528,none,3385688
1929000,537,none,3582115
1954000,532,none,3233164
1979000,531,none,3488821
2004000,530,none,3508042
2029000,536,none,3593040
2054000,541,none,3557203
2079000,541,none,3948579
2104000,550,none,3473762
2129000,551,none,3816881
2154000,559,none,4002029
2179000,556,none,3855952
2204000,561,none,3806695
2229000,556,none,3517036
2254000,547,none,3666357
2279000,546,none,3395462
2304000,556,none,3673684
2329000,554,none,3903666
2354000,552,none,3563176
2379000,558,none,3949514
2404000,555,none,3679729
2429000,553,none,3631307
2454000,562,none,4044894
2479000,570,none,3847938
2504000,573,none,3766064
2529000,570,none,3952858
2554000,576,none,3964900
2579000,586,none,4460282
2604000,565,none,4237819
2629000,571,none,4150309
2654000,577,none,4050843
2679000,566,none,3934094
2704000,569,none,3713195
2729000,560,none,3721539
2754000,562,none,3819981
2779000,572,none,3947655
2804000,574,none,3796485
2829000,578,none,3801585
2854000,580,none,3990795
2879000,574,none,3735674
2904000,585,none,3933242
2929000,588,none,4050527
2954000,596,none,4026079
2979000,591,none,4276880
3004000,583,none,3820837
3029000,585,none,3879318
3054000,577,none,4312710
3079000,584,none,3994187
904000,206,none,963986
929000,357,none,1941703
954000,393,none,2372391
979000,414,none,2369886
1004000,431,none,2497701
1029000,445,none,2768579
1054000,447,none,2560121
1079000,448,none,2830528
1104000,458,none,2545110
1129000,467,none,2785701
1154000,465,none,2704095
1179000,477,none,3070511
1204000,470,none,2929826
1229000,495,none,3022945
1254000,492,none,3196264
1279000,505,none,3217475
1304000,515,none,3354421
