height,c,L,size,attack_cost
1104000,0.5,192,2061319,5248
1104000,0.5,240,2106724,6560
1104000,0.65,100,3091545,3553
1104000,0.65,144,3071664,5117
1104000,0.65,192,3080747,6822
1104000,0.65,240,3094693,8528
1104000,0.8,100,5610068,4373
1104000,0.8,144,5521502,6298
1104000,0.8,192,5456429,8397
1104000,0.8,240,5426214,10496
1129000,0.2,100,978564,1093
1129000,0.2,144,1031344,1574
1129000,0.2,192,1090121,2099
1129000,0.2,240,1156871,2624
1129000,0.35,100,1440304,1913
1129000,0.35,144,1476241,2755
1129000,0.35,192,1513216,3674
1129000,0.35,240,1578471,4592
1129000,0.5,100,2090238,2733
1129000,0.5,144,2096235,3936
1129000,0.5,192,2138516,5248
1129000,0.5,240,2184488,6560
1129000,0.65,100,3191527,3553
1129000,0.65,144,3166247,5117
1129000,0.65,192,3186987,6822
1129000,0.65,240,3210229,8528
1129000,0.8,100,5802846,4373
1129000,0.8,144,5698114,6298
1129000,0.8,192,5630113,8397
1129000,0.8,240,5585739,10496
1154000,0.2,100,987049,1093
1154000,0.2,144,1026110,1574
1154000,0.2,192,1099338,2099
1154000,0.2,240,1152125,2624
1154000,0.35,100,1432685,1913
1154000,0.35,144,1461491,2755
1154000,0.35,192,1519450,3674
1154000,0.35,240,1563123,4592
1154000,0.5,100,2089152,2733
1154000,0.5,144,2083626,3936
1154000,0.5,192,2128048,5248
1154000,0.5,240,2149998,6560
1154000,0.65,100,3217226,3553
1154000,0.65,144,3156645,5117
1154000,0.65,192,3173292,6822
1154000,0.65,240,3158195,8528
1154000,0.8,100,5802272,4373
1154000,0.8,144,5681704,6298
1154000,0.8,192,5635553,8397
1154000,0.8,240,5555847,10496
1179000,0.2,100,1000586,1093
1179000,0.2,144,1044771,1574
1179000,0.2,192,1108806,2099
1179000,0.2,240,1165851,2624
1179000,0.35,100,1452597,1913
1179000,0.35,144,1483898,2755
1179000,0.35,192,1535537,3674
1179000,0.35,240,1585963,4592
1179000,0.5,100,2123522,2733
1179000,0.5,144,2130629,3936
1179000,0.5,192,2146960,5248
1179000,0.5,240,2179433,6560
1179000,0.65,100,3238269,3553
1179000,0.65,144,3220144,5117
1179000,0.65,192,3218728,6822
1179000,0.65,240,3247802,8528
1179000,0.8,100,5922816,4373
1179000,0.8,144,5805365,6298
1179000,0.8,192,5748629,8397
1179000,0.8,240,5715919,10496
1204000,0.2,100,991228,1093
1204000,0.2,144,1037365,1574
1204000,0.2,192,1094977,2099
1204000,0.2,240,1159531,2624
1204000,0.35,100,1453133,1913
1204000,0.35,144,1496280,2755
1204000,0.35,192,1533499,3674
1204000,0.35,240,1597589,4592
1204000,0.5,100,2095967,2733
1204000,0.5,144,2106380,3936
1204000,0.5,192,2124804,5248
1204000,0.5,240,2193279,6560
1204000,0.65,100,3217106,3553
1204000,0.65,144,3175447,5117
1204000,0.65,192,3175258,6822
1204000,0.65,240,3215202,8528
1204000,0.8,100,5893721,4373
1204000,0.8,144,5766778,6298
1204000,0.8,192,5691512,8397
1204000,0.8,240,5664194,10496
1229000,0.2,100,1075697,1093
1229000,0.2,144,1111586,1574
1229000,0.2,192,1168167,2099
1229000,0.2,240,1243512,2624
1229000,0.35,100,1558758,1913
1229000,0.35,144,1585612,2755
1229000,0.35,192,1632292,3674
1229000,0.35,240,1694131,4592
1229000,0.5,100,2272909,2733
1229000,0.5,144,2274837,3936
1229000,0.5,192,2297787,5248
1229000,0.5,240,2344546,6560
1229000,0.65,100,3465403,3553
1229000,0.65,144,3445082,5117
1229000,0.65,192,3435944,6822
1229000,0.65,240,3450945,8528
1229000,0.8,100,6284876,4373
1229000,0.8,144,6148283,6298
1229000,0.8,192,6104950,8397
1229000,0.8,240,6061473,10496
