height,c,L,size,attack_cost
1104000,0.65,100,1892429,3553
1104000,0.65,144,1920582,5117
1104000,0.65,192,1952890,6822
1104000,0.65,240,2000034,8528
1104000,0.8,100,3352796,4373
1104000,0.8,144,3380385,6298
1104000,0.8,192,3361573,8397
1104000,0.8,240,3394984,10496
1129000,0.2,100,650396,1093
1129000,0.2,144,728937,1574
1129000,0.2,192,783408,2099
1129000,0.2,240,876840,2624
1129000,0.35,100,923650,1913
1129000,0.35,144,963474,2755
1129000,0.35,192,1051696,3674
1129000,0.35,240,1102995,4592
1129000,0.5,100,1280583,2733
1129000,0.5,144,1324414,3936
1129000,0.5,192,1371180,5248
1129000,0.5,240,1463007,6560
1129000,0.65,100,1899615,3553
1129000,0.65,144,1926737,5117
1129000,0.65,192,1990820,6822
1129000,0.65,240,2042490,8528
1129000,0.8,100,3397912,4373
1129000,0.8,144,3378897,6298
1129000,0.8,192,3377110,8397
1129000,0.8,240,3400273,10496
1154000,0.2,100,680841,1093
1154000,0.2,144,722105,1574
1154000,0.2,192,804447,2099
1154000,0.2,240,867324,2624
1154000,0.35,100,917117,1913
1154000,0.35,144,981097,2755
1154000,0.35,192,1048091,3674
1154000,0.35,240,1120374,4592
1154000,0.5,100,1301866,2733
1154000,0.5,144,1320077,3936
1154000,0.5,192,1382947,5248
1154000,0.5,240,1459701,6560
1154000,0.65,100,1925589,3553
1154000,0.65,144,1939535,5117
1154000,0.65,192,1997274,6822
1154000,0.65,240,2063096,8528
1154000,0.8,100,3383193,4373
1154000,0.8,144,3383942,6298
1154000,0.8,192,3456441,8397
1154000,0.8,240,3445389,10496
1179000,0.2,100,660400,1093
1179000,0.2,144,718500,1574
1179000,0.2,192,803471,2099
1179000,0.2,240,875187,2624
1179000,0.35,100,934929,1913
1179000,0.35,144,976217,2755
1179000,0.35,192,1054978,3674
1179000,0.35,240,1110370,4592
1179000,0.5,100,1302653,2733
1179000,0.5,144,1341848,3936
1179000,0.5,192,1387638,5248
1179000,0.5,240,1470193,6560
1179000,0.65,100,1956144,3553
1179000,0.65,144,1949893,5117
1179000,0.65,192,2016660,6822
1179000,0.65,240,2056374,8528
1179000,0.8,100,3438502,4373
1179000,0.8,144,3452482,6298
1179000,0.8,192,3451671,8397
1179000,0.8,240,3486302,10496
1204000,0.2,100,671624,1093
1204000,0.2,144,731188,1574
1204000,0.2,192,809138,2099
1204000,0.2,240,881531,2624
1204000,0.35,100,923028,1913
1204000,0.35,144,996335,2755
1204000,0.35,192,1056198,3674
1204000,0.35,240,1129701,4592
1204000,0.5,100,1298560,2733
1204000,0.5,144,1353914,3936
1204000,0.5,192,1397453,5248
1204000,0.5,240,1469516,6560
1204000,0.65,100,1936246,3553
1204000,0.65,144,1994411,5117
1204000,0.65,192,2049167,6822
1204000,0.65,240,2088448,8528
1204000,0.8,100,3491615,4373
1204000,0.8,144,3452647,6298
1204000,0.8,192,3484532,8397
1204000,0.8,240,3479147,10496
1229000,0.2,100,674552,1093
1229000,0.2,144,738807,1574
1229000,0.2,192,816946,2099
1229000,0.2,240,884947,2624
1229000,0.35,100,941139,1913
1229000,0.35,144,1007559,2755
1229000,0.35,192,1057961,3674
1229000,0.35,240,1123900,4592
1229000,0.5,100,1326919,2733
1229000,0.5,144,1370073,3936
1229000,0.5,192,1422640,5248
1229000,0.5,240,1474695,6560
1229000,0.65,100,1947824,3553
1229000,0.65,144,1970798,5117
1229000,0.65,192,2050741,6822
1229000,0.65,240,2083379,8528
1229000,0.8,100,3501351,4373
1229000,0.8,144,3464524,6298
1229000,0.8,192,3479085,8397
1229000,0.8,240,3559155,10496
1254000,0.2,100,679731,1093
1254000,0.2,144,723923,1574
1254000,0.2,192,810712,2099
1254000,0.2,240,880366,2624
1254000,0.35,100,944555,1913
1254000,0.35,144,1003655,2755
1254000,0.35,192,1081196,3674
1254000,0.35,240,1132440,4592
1254000,0.5,100,1321905,2733
1254000,0.5,144,1359636,3936
1254000,0.5,192,1440263,5248
1254000,0.5,240,1507202,6560
1254000,0.65,100,1999119,3553
1254000,0.65,144,2020684,5117
1254000,0.65,192,2069395,6822
1254000,0.65,240,2098861,8528
1254000,0.8,100,3555928,4373
1254000,0.8,144,3491041,6298
1254000,0.8,192,3548546,8397
1254000,0.8,240,3540288,10496
1279000,0.2,100,681927,1093
1279000,0.2,144,733439,1574
1279000,0.2,192,815537,2099
1279000,0.2,240,879390,2624
1279000,0.35,100,952906,1913
1279000,0.35,144,994682,2755
1279000,0.35,192,1061676,3674
1279000,0.35,240,1127371,4592
1279000,0.5,100,1341181,2733
1279000,0.5,144,1380974,3936
1279000,0.5,192,1420554,5248
1279000,0.5,240,1471145,6560
1279000,0.65,100,1998741,3553
1279000,0.65,144,2021715,5117
1279000,0.65,192,2023578,6822
1279000,0.65,240,2108676,8528
1279000,0.8,100,3538037,4373
1279000,0.8,144,3517802,6298
1279000,0.8,192,3539683,8397
1279000,0.8,240,3564609,10496
1304000,0.2,100,673442,1093
1304000,0.2,144,752282,1574
1304000,0.2,192,812176,2099
1304000,0.2,240,900917,2624
1304000,0.35,100,975409,1913
1304000,0.35,144,994737,2755
1304000,0.35,192,1068563,3674
1304000,0.35,240,1133038,4592
1304000,0.5,100,1339528,2733
1304000,0.5,144,1368963,3936
1304000,0.5,192,1446229,5248
1304000,0.5,240,1501212,6560
1304000,0.65,100,1977080,3553
1304000,0.65,144,2027681,5117
1304000,0.65,192,2079320,6822
1304000,0.65,240,2111714,8528
1304000,0.8,100,3530394,4373
1304000,0.8,144,3553103,6298
1304000,0.8,192,3527703,8397
1304000,0.8,240,3536958,10496
1329000,0.2,100,680030,1093
1329000,0.2,144,745938,1574
1329000,0.2,192,829500,2099
1329000,0.2,240,899697,2624
1329000,0.35,100,965649,1913
1329000,0.35,144,997177,2755
1329000,0.35,192,1075694,3674
1329000,0.35,240,1134069,4592
1329000,0.5,100,1313042,2733
1329000,0.5,144,1388538,3936
1329000,0.5,192,1432132,5248
1329000,0.5,240,1502487,6560
1329000,0.65,100,2001590,3553
1329000,0.65,144,2015347,5117
1329000,0.65,192,2097431,6822
1329000,0.65,240,2130069,8528
1329000,0.8,100,3565451,4373
1329000,0.8,144,3594748,6298
1329000,0.8,192,3571977,8397
1329000,0.8,240,3587387,10496
1354000,0.2,100,693694,1093
1354000,0.2,144,754777,1574
1354000,0.2,192,828036,2099
1354000,0.2,240,892920,2624
1354000,0.35,100,955944,1913
1354000,0.35,144,1012360,2755
1354000,0.35,192,1071302,3674
1354000,0.35,240,1146269,4592
1354000,0.5,100,1330665,2733
1354000,0.5,144,1398841,3936
1354000,0.5,192,1436579,5248
1354000,0.5,240,1514010,6560
1354000,0.65,100,2003109,3553
1354000,0.65,144,2021746,5117
1354000,0.65,192,2100036,6822
1354000,0.65,240,2173611,8528
1354000,0.8,100,3588064,4373
1354000,0.8,144,3591497,6298
1354000,0.8,192,3587758,8397
1354000,0.8,240,3645923,10496
1379000,0.2,100,679109,1093
1379000,0.2,144,763805,1574
1379000,0.2,192,826139,2099
1379000,0.2,240,892676,2624
1379000,0.35,100,957707,1913
1379000,0.35,144,1003332,2755
1379000,0.35,192,1090145,3674
1379000,0.35,240,1153400,4592
1379000,0.5,100,1349209,2733
1379000,0.5,144,1381572,3936
1379000,0.5,192,1468842,5248
1379000,0.5,240,1505281,6560
1379000,0.65,100,2047383,3553
1379000,0.65,144,2066264,5117
1379000,0.65,192,2103696,6822
1379000,0.65,240,2155610,8528
1379000,0.8,100,3624341,4373
1379000,0.8,144,3619234,6298
1379000,0.8,192,3532047,8397
1379000,0.8,240,3633589,10496
1404000,0.2,100,693261,1093
1404000,0.2,144,752825,1574
1404000,0.2,192,831507,2099
1404000,0.2,240,896092,2624
1404000,0.35,100,962831,1913
1404000,0.35,144,1031691,2755
1404000,0.35,192,1076292,3674
1404000,0.35,240,1159988,4592
1404000,0.5,100,1363361,2733
1404000,0.5,144,1420179,3936
1404000,0.5,192,1453281,5248
1404000,0.5,240,1524612,6560
1404000,0.65,100,2036214,3553
1404000,0.65,144,2058023,5117
1404000,0.65,192,2084774,6822
1404000,0.65,240,2164016,8528
1404000,0.8,100,3644459,4373
1404000,0.8,144,3637455,6298
1404000,0.8,192,3610780,8397
1404000,0.8,240,3680303,10496
1429000,0.2,100,698440,1093
1429000,0.2,144,761420,1574
1429000,0.2,192,831318,2099
1429000,0.2,240,905175,2624
1429000,0.35,100,961910,1913
1429000,0.35,144,1023450,2755
1429000,0.35,192,1085320,3674
1429000,0.35,240,1166387,4592
1429000,0.5,100,1358536,2733
1429000,0.5,144,1393150,3936
1429000,0.5,192,1461388,5248
1429000,0.5,240,1527107,6560
1429000,0.65,100,2075364,3553
1429000,0.65,144,2043926,5117
1429000,0.65,192,2098249,6822
1429000,0.65,240,2172611,8528
1429000,0.8,100,3647308,4373
1429000,0.8,144,3641957,6298
1429000,0.8,192,3643397,8397
1429000,0.8,240,3651188,10496
1454000,0.2,100,688924,1093
1454000,0.2,144,758736,1574
1454000,0.2,192,836497,2099
1454000,0.2,240,916155,2624
1454000,0.35,100,968254,1913
1454000,0.35,144,1043269,2755
1454000,0.35,192,1083423,3674
1454000,0.35,240,1172975,4592
1454000,0.5,100,1357127,2733
1454000,0.5,144,1423949,3936
1454000,0.5,192,1466323,5248
1454000,0.5,240,1522715,6560
1454000,0.65,100,2049799,3553
1454000,0.65,144,2041407,5117
1454000,0.65,192,2107387,6822
1454000,0.65,240,2190533,8528
1454000,0.8,100,3635273,4373
1454000,0.8,144,3626262,6298
1454000,0.8,192,3691087,8397
1454000,0.8,240,3695517,10496
1479000,0.2,100,700148,1093
1479000,0.2,144,771967,1574
1479000,0.2,192,818386,2099
1479000,0.2,240,906151,2624
1479000,0.35,100,979289,1913
1479000,0.35,144,1032045,2755
1479000,0.35,192,1096355,3674
1479000,0.35,240,1177178,4592
1479000,0.5,100,1376702,2733
1479000,0.5,144,1392528,3936
1479000,0.5,192,1476815,5248
1479000,0.5,240,1533262,6560
1479000,0.65,100,2041613,3553
1479000,0.65,144,2093379,5117
1479000,0.65,192,2142822,6822
1479000,0.65,240,2197719,8528
1479000,0.8,100,3678327,4373
1479000,0.8,144,3663271,6298
1479000,0.8,192,3680516,8397
1479000,0.8,240,3698067,10496
1504000,0.2,100,701423,1093
1504000,0.2,144,761719,1574
1504000,0.2,192,837229,2099
1504000,0.2,240,908457,2624
1504000,0.35,100,980753,1913
1504000,0.35,144,1035705,2755
1504000,0.35,192,1095922,3674
1504000,0.35,240,1188402,4592
1504000,0.5,100,1382857,2733
1504000,0.5,144,1424791,3936
1504000,0.5,192,1459790,5248
1504000,0.5,240,1552105,6560
1504000,0.65,100,2064360,3553
1504000,0.65,144,2076165,5117
1504000,0.65,192,2137021,6822
1504000,0.65,240,2219923,8528
1504000,0.8,100,3651164,4373
1504000,0.8,144,3664601,6298
1504000,0.8,192,3692393,8397
1504000,0.8,240,3743372,10496
1529000,0.2,100,699959,1093
1529000,0.2,144,768795,1574
1529000,0.2,192,830153,2099
1529000,0.2,240,922310,2624
1529000,0.35,100,987396,1913
1529000,0.35,144,1044544,2755
1529000,0.35,192,1092506,3674
1529000,0.35,240,1169669,4592
1529000,0.5,100,1392184,2733
1529000,0.5,144,1412347,3936
1529000,0.5,192,1504497,5248
1529000,0.5,240,1554844,6560
1529000,0.65,100,2056363,3553
1529000,0.65,144,2094520,5117
1529000,0.65,192,2157383,6822
1529000,0.65,240,2233697,8528
1529000,0.8,100,3719704,4373
1529000,0.8,144,3691606,6298
1529000,0.8,192,3683719,8397
1529000,0.8,240,3712793,10496
1554000,0.2,100,707767,1093
1554000,0.2,144,778610,1574
1554000,0.2,192,839913,2099
1554000,0.2,240,906017,2624
1554000,0.35,100,985200,1913
1554000,0.35,144,1054304,2755
1554000,0.35,192,1096465,3674
1554000,0.35,240,1189488,4592
1554000,0.5,100,1396387,2733
1554000,0.5,144,1414354,3936
1554000,0.5,192,1493816,5248
1554000,0.5,240,1541235,6560
1554000,0.65,100,2069350,3553
1554000,0.65,144,2117511,5117
1554000,0.65,192,2145726,6822
1554000,0.65,240,2225700,8528
1554000,0.8,100,3704143,4373
1554000,0.8,144,3700988,6298
1554000,0.8,192,3701696,8397
1554000,0.8,240,3725591,10496
1579000,0.2,100,721242,1093
1579000,0.2,144,772998,1574
