height,sample_count,optimization_type,size
954000,541,none,3186219
979000,542,none,2976434
1004000,544,none,3056332
1029000,545,none,3346259
1054000,546,none,3045459
1079000,547,none,3422006
1104000,548,none,2956997
1129000,550,none,3132543
1154000,551,none,3192622
1179000,552,none,3456197
1204000,553,none,3380856
1229000,554,none,3314787
1254000,555,none,3536882
1279000,556,none,3483989
1304000,557,none,3578960
1329000,558,none,3728099
1354000,559,none,3413394
1379000,560,none,3579125
1404000,560,none,3609137
1429000,561,none,3661164
1454000,562,none,3538054
1479000,563,none,3806698
1504000,564,none,3825785
1529000,565,none,3820960
1554000,566,none,4086731
1579000,566,none,3629475
1604000,567,none,3286222
1629000,568,none,3778425
1654000,569,none,3681856
1679000,569,none,3805320
1704000,570,none,3189815
1729000,571,none,3518971
1754000,572,none,3424708
1779000,572,none,3794502
1804000,573,none,3495901
1829000,574,none,3524748
1854000,574,none,3756548
1879000,575,none,3895982
1904000,576,none,3695414
1929000,576,none,3840594
1954000,577,none,3461473
1979000,578,none,3777020
2004000,578,none,3824112
2029000,579,none,3861499
2054000,579,none,3757067
2079000,580,none,4190954
2104000,581,none,3705449
2129000,581,none,4031189
2154000,582,none,4088828
2179000,582,none,3984640
2204000,583,none,3921554
2229000,584,none,3637294
2254000,584,none,3817610
2279000,585,none,3627101
2304000,585,none,3852069
2329000,586,none,4054400
2354000,586,none,3733839
2379000,587,none,4062995
2404000,587,none,3886583
2429000,588,none,3805142
2454000,588,none,4238730
2479000,589,none,3936469
2504000,589,none,3879129
2529000,590,none,4033636
2554000,590,none,3953604
2579000,591,none,4446051
2604000,591,none,4377731
2629000,592,none,4231441
2654000,592,none,4110850
2679000,593,none,4056249
2704000,593,none,3886669
2729000,594,none,3870919
2754000,594,none,3959979
2779000,595,none,4083443
2804000,595,none,3823827
2829000,595,none,3847251
2854000,596,none,4033289
2879000,596,none,3875366
2904000,597,none,3971313
2929000,597,none,4066717
2954000,598,none,3959955
2979000,598,none,4273684
3004000,598,none,3883772
3029000,599,none,3927991
3054000,599,none,4394763
3079000,600,none,4029794
904000,538,none,2481382
929000,540,none,2794056
954000,541,none,3176703
979000,542,none,2973750
1004000,544,none,3066092
1029000,545,none,3354555
1054000,546,none,3073818
1079000,547,none,3435725
1104000,548,none,2924301
1129000,550,none,3152307
1154000,551,none,3181154
1179000,552,none,3449853
1204000,553,none,3388176
1229000,554,none,3321375
1254000,555,none,3535662
1279000,556,none,3486185
1304000,557,none,3592136
1329000,558,none,3714435
1354000,559,none,3385578
1379000,560,none,3536181
1404000,560,none,3604989
1429000,561,none,3666044
1454000,562,none,3548003
1479000,563,none,3766438
1504000,564,none,3803581
1529000,565,none,3802660
1554000,566,none,4055011
1579000,566,none,3609467
1604000,567,none,3314282
1629000,568,none,3769397
1654000,569,none,3641840
1679000,569,none,3759936
1704000,570,none,3244904
1729000,571,none,3545866
1754000,572,none,3383850
1779000,572,none,3832566
1804000,573,none,3531037
1829000,574,none,3487904
1854000,574,none,3799004
1879000,575,none,3908182
1904000,576,none,3700892
1929000,576,none,3818146
1954000,577,none,3504173
1979000,578,none,3767016
2004000,578,none,3789952
2029000,579,none,3809527
2054000,579,none,3786835
2079000,580,none,4203886
2104000,581,none,3646157
2129000,581,none,4002641
2154000,582,none,4122610
2179000,582,none,4009528
2204000,583,none,3909055
2229000,584,none,3645346
2254000,584,none,3828590
2279000,585,none,3654429
2304000,585,none,3812053
