height,c,L,size,attack_cost
1104000,0.65,144,1400620,5117
1104000,0.65,192,1467143,6822
1104000,0.65,240,1524913,8528
1104000,0.8,100,2465513,4373
1104000,0.8,144,2439666,6298
1104000,0.8,192,2454526,8397
1104000,0.8,240,2473053,10496
1129000,0.2,100,652977,1093
1129000,0.2,144,704001,1574
1129000,0.2,192,775851,2099
1129000,0.2,240,861908,2624
1129000,0.35,100,897525,1913
1129000,0.35,144,949793,2755
1129000,0.35,192,1018739,3674
1129000,0.35,240,1091998,4592
1129000,0.5,100,1228137,2733
1129000,0.5,144,1297155,3936
1129000,0.5,192,1346361,5248
1129000,0.5,240,1410860,6560
1129000,0.65,100,1846121,3553
1129000,0.65,144,1865679,5117
1129000,0.65,192,1928298,6822
1129000,0.65,240,1968012,8528
1129000,0.8,100,3254592,4373
1129000,0.8,144,3228989,6298
1129000,0.8,192,3232869,8397
1129000,0.8,240,3245784,10496
1154000,0.2,100,273462,1093
1154000,0.2,144,326627,1574
1154000,0.2,192,395738,2099
1154000,0.2,240,459182,2624
1154000,0.35,100,350862,1913
1154000,0.35,144,397951,2755
1154000,0.35,192,464457,3674
1154000,0.35,240,522100,4592
1154000,0.5,100,446978,2733
1154000,0.5,144,498861,3936
1154000,0.5,192,551971,5248
1154000,0.5,240,593235,6560
1154000,0.65,100,631096,3553
1154000,0.65,144,654070,5117
1154000,0.65,192,682529,6822
1154000,0.65,240,716143,8528
1154000,0.8,100,1018581,4373
1154000,0.8,144,1018842,6298
1154000,0.8,192,1012419,8397
1154000,0.8,240,988978,10496
1179000,0.2,100,586825,1093
1179000,0.2,144,644437,1574
1179000,0.2,192,745622,2099
1179000,0.2,240,805327,2624
1179000,0.35,100,818671,1913
1179000,0.35,144,876008,2755
1179000,0.35,192,935981,3674
1179000,0.35,240,998016,4592
1179000,0.5,100,1152867,2733
1179000,0.5,144,1179917,3936
1179000,0.5,192,1239127,5248
1179000,0.5,240,1309482,6560
1179000,0.65,100,1709297,3553
1179000,0.65,144,1713971,5117
1179000,0.65,192,1761462,6822
1179000,0.65,240,1813376,8528
1179000,0.8,100,2996323,4373
1179000,0.8,144,2971019,6298
1179000,0.8,192,2958008,8397
1179000,0.8,240,2993371,10496
1204000,0.2,100,718761,1093
1204000,0.2,144,774421,1574
1204000,0.2,192,846027,2099
1204000,0.2,240,916224,2624
1204000,0.35,100,990101,1913
1204000,0.35,144,1053593,2755
1204000,0.35,192,1120343,3674
1204000,0.35,240,1188234,4592
1204000,0.5,100,1395848,2733
1204000,0.5,144,1420403,3936
1204000,0.5,192,1484737,5248
1204000,0.5,240,1546552,6560
1204000,0.65,100,2067935,3553
1204000,0.65,144,2104872,5117
1204000,0.65,192,2133276,6822
1204000,0.65,240,2193486,8528
1204000,0.8,100,3706839,4373
1204000,0.8,144,3673672,6298
1204000,0.8,192,3668225,8397
1204000,0.8,240,3716575,10496
1229000,0.2,100,647296,1093
1229000,0.2,144,711496,1574
1229000,0.2,192,779387,2099
1229000,0.2,240,852323,2624
1229000,0.35,100,912522,1913
1229000,0.35,144,954054,2755
1229000,0.35,192,1029588,3674
1229000,0.35,240,1088939,4592
1229000,0.5,100,1261640,2733
1229000,0.5,144,1299127,3936
1229000,0.5,192,1361509,5248
1229000,0.5,240,1404292,6560
1229000,0.65,100,1889064,3553
1229000,0.65,144,1885009,5117
1229000,0.65,192,1927132,6822
1229000,0.65,240,1986854,8528
1229000,0.8,100,3345200,4373
1229000,0.8,144,3319109,6298
1229000,0.8,192,3345437,8397
1229000,0.8,240,3308088,10496
1254000,0.2,100,696911,1093
1254000,0.2,144,776294,1574
1254000,0.2,192,824232,2099
1254000,0.2,240,902237,2624
1254000,0.35,100,968605,1913
1254000,0.35,144,1022581,2755
1254000,0.35,192,1085427,3674
1254000,0.35,240,1154782,4592
1254000,0.5,100,1357138,2733
1254000,0.5,144,1411760,3936
1254000,0.5,192,1464815,5248
1254000,0.5,240,1548834,6560
1254000,0.65,100,2074097,3553
1254000,0.65,144,2060770,5117
1254000,0.65,192,2083806,6822
1254000,0.65,240,2171832,8528
1254000,0.8,100,3647372,4373
1254000,0.8,144,3601273,6298
1254000,0.8,192,3651025,8397
1254000,0.8,240,3625388,10496
1279000,0.2,100,543699,1093
1279000,0.2,144,606435,1574
1279000,0.2,192,673350,2099
1279000,0.2,240,745011,2624
1279000,0.35,100,729649,1913
1279000,0.35,144,796258,2755
1279000,0.35,192,865991,3674
1279000,0.35,240,937298,4592
1279000,0.5,100,1012313,2733
1279000,0.5,144,1084204,3936
1279000,0.5,192,1130970,5248
1279000,0.5,240,1197909,6560
1279000,0.65,100,1529143,3553
1279000,0.65,144,1550165,5117
1279000,0.65,192,1583992,6822
1279000,0.65,240,1648838,8528
1279000,0.8,100,2694953,4373
1279000,0.8,144,2632805,6298
1279000,0.8,192,2642242,8397
1279000,0.8,240,2677361,10496
1304000,0.2,100,536004,1093
1304000,0.2,144,601424,1574
1304000,0.2,192,682546,2099
1304000,0.2,240,750248,2624
1304000,0.35,100,729126,1913
1304000,0.35,144,790910,2755
1304000,0.35,192,860832,3674
1304000,0.35,240,934091,4592
1304000,0.5,100,1023945,2733
1304000,0.5,144,1067831,3936
1304000,0.5,192,1136313,5248
1304000,0.5,240,1194413,6560
1304000,0.65,100,1472152,3553
1304000,0.65,144,1534953,5117
1304000,0.65,192,1581712,6822
1304000,0.65,240,1653146,8528
1304000,0.8,100,2622214,4373
1304000,0.8,144,2624427,6298
1304000,0.8,192,2648315,8397
1304000,0.8,240,2685386,10496
1329000,0.2,100,649327,1093
1329000,0.2,144,704011,1574
1329000,0.2,192,771469,2099
1329000,0.2,240,853866,2624
