height,sample_count,optimization_type,size
2354000,681,none,5229416
2379000,694,none,4274383
2404000,693,none,4578840
2429000,611,none,4337217
2454000,635,none,4656170
2479000,617,none,4392392
2504000,672,none,4486484
2529000,554,none,4308462
2554000,584,none,4539716
2579000,622,none,4481239
2604000,707,none,5055709
2629000,710,none,4654494
2654000,725,none,5016683
2679000,645,none,4717720
2704000,709,none,4921808
2729000,664,none,4836129
2754000,598,none,4484799
2779000,684,none,4657944
2804000,709,none,5137748
2829000,593,none,4554363
2854000,719,none,5850046
2879000,648,none,4653524
2904000,634,none,4609511
2929000,680,none,4497361
2954000,701,none,4988468
2979000,583,none,3851880
3004000,735,none,4631713
3029000,750,none,4820418
3054000,655,none,4111064
3079000,586,none,3862970
3104000,663,none,4005797
3129000,763,none,5081237
3154000,654,none,4648242
3179000,522,none,3803330
3204000,166,none,1053335
3229000,749,none,5240531
3254000,709,none,5251263
3279000,785,none,5632667
3304000,766,none,4705886
3329000,788,none,5492831
3354000,709,none,4776439
3379000,588,none,4270804
3404000,771,none,5530393
3429000,697,none,5093467
3454000,660,none,4871832
3479000,739,none,5653805
904000,135,none,452805
929000,316,none,1779628
954000,396,none,2179064
979000,439,none,2423965
1004000,544,none,3158812
1029000,482,none,2951958
1054000,481,none,3035351
1079000,504,none,3057600
1104000,485,none,3038011
1129000,567,none,3398273
1154000,210,none,1404922
1179000,485,none,3269811
1204000,604,none,3963948
1229000,524,none,3575736
1254000,610,none,4104578
1279000,507,none,2945281
1304000,439,none,2882981
1329000,516,none,3513564
1354000,505,none,3874079
1379000,568,none,3653064
1404000,499,none,3648049
1429000,535,none,3809605
1454000,547,none,3836373
1479000,568,none,4182056
1504000,588,none,4015717
1529000,427,none,2993097
1554000,545,none,3762819
1579000,572,none,3790656
1604000,569,none,3701919
1629000,526,none,3781538
1654000,578,none,4283134
1679000,525,none,3848827
1704000,297,none,2221251
1729000,631,none,4226269
1754000,637,none,4591379
1779000,477,none,3597063
1804000,552,none,4111148
1829000,584,none,4360568
1854000,565,none,3658319
1879000,573,none,3809551
1904000,587,none,3824717
1929000,582,none,3098731
1954000,612,none,4380893
1979000,591,none,3766865
2004000,636,none,4534713
2029000,526,none,3714679
2054000,648,none,4692265
2079000,642,none,4197347
2104000,628,none,4880997
2129000,555,none,4242094
2154000,721,none,4774171
2179000,613,none,4152808
2204000,620,none,4337956
2229000,602,none,4367655
2254000,640,none,4864577
2279000,597,none,4274172
2304000,682,none,4658322
2329000,602,none,4564374
2354000,681,none,5222639
2379000,694,none,4297374
2404000,693,none,4647459
2429000,611,none,4352290
2454000,635,none,4674769
2479000,617,none,4442955
2504000,672,none,4455008
2529000,554,none,4298702
2554000,584,none,4480912
2579000,622,none,4516375
2604000,707,none,5009593
2629000,710,none,4617351
2654000,725,none,4968072
2679000,645,none,4723576
2704000,709,none,4908876
2729000,664,none,4819592
2754000,598,none,4508522
2779000,684,none,4681368
2804000,709,none,5150979
2829000,593,none,4532891
2854000,719,none,5876398
2879000,648,none,4654201
2904000,634,none,4551982
2929000,680,none,4514441
2954000,701,none,5018968
2979000,583,none,3857736
3004000,735,none,4707896
3029000,750,none,4759662
3054000,655,none,4099785
3079000,586,none,3856138
3104000,663,none,4008481
3129000,763,none,5081481
3154000,654,none,4658246
3179000,522,none,3802842
3204000,166,none,1063638
3229000,749,none,5251999
3254000,709,none,5297190
3279000,785,none,5658531
3304000,766,none,4670939
3329000,788,none,5440804
3354000,709,none,4739296
3379000,588,none,4252748
3404000,771,none,5531180
3429000,697,none,5096395
3454000,660,none,4874028
3479000,739,none,5639897
904000,135,none,452805
929000,316,none,1778896
954000,396,none,2185896
979000,439,none,2414205
1004000,544,none,3177356
1029000,482,none,2950738
1054000,481,none,3041939
1079000,504,none,3039056
1104000,485,none,3081931
1129000,567,none,3404129
1154000,210,none,1404434
1179000,485,none,3254683
1204000,604,none,3950772
1229000,524,none,3548896
1254000,610,none,4090182
1279000,507,none,2951869
1304000,439,none,2865169
1329000,516,none,3518444
1354000,505,none,3890183
1379000,568,none,3662824
1404000,499,none,3655369
1429000,535,none,3815949
1454000,547,none,3851257
1479000,568,none,4201332
1504000,588,none,4007232
1529000,427,none,2991145
1554000,545,none,3735003
1579000,572,none,3773521
1604000,569,none,3728027
1629000,526,none,3802034
1654000,578,none,4253122
1679000,525,none,3857367
1704000,297,none,2222471
1729000,631,none,4251645
1754000,637,none,4625240
1779000,477,none,3611703
1804000,552,none,4093525
1829000,584,none,4331721
1854000,565,none,3654659
1879000,573,none,3794667
1904000,587,none,3780065
1929000,582,none,3115622
1954000,612,none,4372597
1979000,591,none,3797365
2004000,636,none,4553800
2029000,526,none,3709610
2054000,648,none,4693540
2079000,642,none,4243274
2104000,628,none,4897345
2129000,555,none,4258985
2154000,721,none,4829559
2179000,613,none,4181844
2204000,620,none,4339908
2229000,602,none,4357706
2254000,640,none,4846765
2279000,597,none,4296431
2304000,682,none,4690042
2329000,602,none,4532843
2354000,681,none,5218003
2379000,694,none,4292006
2404000,693,none,4593724
2429000,611,none,4380405
2454000,635,none,4671109
2479000,617,none,4388787
2504000,672,none,4398101
2529000,554,none,4303039
2554000,584,none,4490184
2579000,622,none,4497886
2604000,707,none,5030522
2629000,710,none,4652487
2654000,725,none,5023271
2679000,645,none,4734611
2704000,709,none,4941139
2729000,664,none,4835397
2754000,598,none,4498274
2779000,684,none,4654473
2804000,709,none,5131160
2829000,593,none,4523320
2854000,719,none,5823261
2879000,648,none,4670848
2904000,634,none,4589558
2929000,680,none,4527617
