height,c,L,size,attack_cost
1104000,0.65,100,1857537,3553
1104000,0.65,144,1925950,5117
1104000,0.65,192,1927270,6822
1104000,0.65,240,2034139,8528
1104000,0.8,100,3376031,4373
1104000,0.8,144,3345249,6298
1104000,0.8,192,3353521,8397
1104000,0.8,240,3382351,10496
1129000,0.2,100,646681,1093
1129000,0.2,144,730889,1574
1129000,0.2,192,783896,2099
1129000,0.2,240,873668,2624
1129000,0.35,100,907546,1913
1129000,0.35,144,939806,2755
1129000,0.35,192,1017536,3674
1129000,0.35,240,1097627,4592
1129000,0.5,100,1293759,2733
1129000,0.5,144,1312946,3936
1129000,0.5,192,1378988,5248
1129000,0.5,240,1471059,6560
1129000,0.65,100,1900347,3553
1129000,0.65,144,1918441,5117
1129000,0.65,192,1984476,6822
1129000,0.65,240,2067134,8528
1129000,0.8,100,3387121,4373
1129000,0.8,144,3376701,6298
1129000,0.8,192,3389310,8397
1129000,0.8,240,3428333,10496
1154000,0.2,100,657661,1093
1154000,0.2,144,713321,1574
1154000,0.2,192,799567,2099
1154000,0.2,240,876596,2624
1154000,0.35,100,921265,1913
1154000,0.35,144,979145,2755
1154000,0.35,192,1029303,3674
1154000,0.35,240,1110181,4592
1154000,0.5,100,1274782,2733
1154000,0.5,144,1308609,3936
1154000,0.5,192,1388315,5248
1154000,0.5,240,1443054,6560
1154000,0.65,100,1898749,3553
1154000,0.65,144,1950515,5117
1154000,0.65,192,2010206,6822
1154000,0.65,240,2039672,8528
1154000,0.8,100,3428089,4373
1154000,0.8,144,3412246,6298
1154000,0.8,192,3436866,8397
1154000,0.8,240,3468813,10496
1179000,0.2,100,659424,1093
1179000,0.2,144,735092,1574
1179000,0.2,192,787367,2099
1179000,0.2,240,882751,2624
1179000,0.35,100,925901,1913
1179000,0.35,144,981097,2755
1179000,0.35,192,1052538,3674
1179000,0.35,240,1115494,4592
1179000,0.5,100,1305581,2733
1179000,0.5,144,1333796,3936
1179000,0.5,192,1402278,5248
1179000,0.5,240,1447989,6560
1179000,0.65,100,1915640,3553
1179000,0.65,144,1984785,5117
1179000,0.65,192,2015440,6822
1179000,0.65,240,2080042,8528
1179000,0.8,100,3409222,4373
1179000,0.8,144,3457606,6298
1179000,0.8,192,3473143,8397
1179000,0.8,240,3482154,10496
1204000,0.2,100,681140,1093
1204000,0.2,144,724112,1574
1204000,0.2,192,795962,2099
1204000,0.2,240,871771,2624
1204000,0.35,100,936503,1913
1204000,0.35,144,984812,2755
