height,cache_nodes,derive_parents,size
1004000,True,True,1504492
1004000,True,True,1511568
1004000,True,True,1504736
1004000,True,True,1502784
1004000,True,True,1497904
1004000,True,True,1503516
1004000,True,True,1502296
1004000,True,True,1508396
1004000,True,True,1503272
1004000,True,True,1504980
1004000,True,True,1514252
1004000,True,True,1502296
1004000,True,True,1490096
1004000,True,True,1482044
1004000,True,True,1496196
1004000,True,True,1504980
1004000,True,True,1505224
1004000,True,True,1507176
1004000,True,True,1488144
1004000,True,False,1510104
1004000,True,False,1502052
1004000,True,False,1487900
1004000,True,False,1510836
1004000,True,False,1501320
1004000,True,False,1511324
1004000,True,False,1498880
1004000,True,False,1509860
1004000,True,False,1509372
1004000,True,False,1507664
1004000,True,False,1522548
1004000,True,False,1530112
1004000,True,False,1492780
1004000,True,False,1508640
1004000,True,False,1503028
1004000,True,False,1514008
1004000,True,False,1522792
1004000,True,False,1496928
1004000,True,False,1518400
1004000,True,False,1520596
1004000,True,False,1500588
1004000,True,False,1490584
1004000,True,False,1510836
1004000,True,False,1511324
1004000,True,False,1503516
1004000,True,False,1512300
1004000,True,False,1521816
1004000,True,False,1519132
1004000,True,False,1517180
1004000,True,False,1506444
1004000,False,True,2160120
1004000,False,True,2147188
1004000,False,True,2125960
1004000,False,True,2157680
1004000,False,True,2162560
1004000,False,True,2147920
1004000,False,True,2149872
1004000,False,True,2153776
1004000,False,True,2132792
1004000,False,True,2146944
1004000,False,True,2157680
1004000,False,True,2131816
1004000,False,True,2145236
1004000,False,True,2144260
1004000,False,True,2174028
1004000,False,True,2131084
1004000,False,True,2149628
1004000,False,True,2159144
1004000,False,True,2144504
1004000,False,True,2146212
1004000,False,True,2144992
1004000,False,True,2161828
1004000,False,True,2162560
1004000,False,True,2151092
1004000,False,True,2133524
1004000,False,True,2174516
1004000,False,True,2129376
1004000,False,True,2160852
1004000,False,True,2170124
1004000,False,True,2139380
1004000,False,False,2183788
1004000,False,False,2169880
1004000,False,False,2153532
1004000,False,False,2187936
1004000,False,False,2162560
1004000,False,False,2165000
1004000,False,False,2159144
1004000,False,False,2162072
1004000,False,False,2165000
1004000,False,False,2162804
1004000,False,False,2165244
1004000,False,False,2157436
1004000,False,False,2184276
1004000,False,False,2186472
1004000,False,False,2162316
1004000,False,False,2182812
1004000,False,False,2151580
1004000,False,False,2161096
1004000,False,False,2148408
1004000,False,False,2181592
1004000,False,False,2161584
1004000,False,False,2141820
1004000,False,False,2170368
1004000,False,False,2170856
1004000,False,False,2172320
1004000,False,False,2171832
1004000,False,False,2195012
1004000,False,False,2148896
1004000,False,False,2169636
1004000,False,False,2177932
1054000,True,True,1601223
1054000,True,True,1600979
1054000,True,True,1607079
1054000,True,True,1595611
1054000,True,True,1582923
1054000,True,True,1588047
1054000,True,True,1584387
1054000,True,True,1589755
1054000,True,True,1587071
1054000,True,True,1588047
1054000,True,True,1596587
1054000,True,True,1584875
1054000,True,True,1608299
1054000,True,True,1597563
