,height,c,L,size
13049,1154000,0.8,144,4459494
13048,1154000,0.8,144,4446318
13047,1154000,0.8,144,4471694
13046,1154000,0.8,144,4468766
13045,1154000,0.8,144,4488530
13044,1154000,0.8,144,4446806
13043,1154000,0.8,144,4462666
13042,1154000,0.8,144,4462666
13041,1154000,0.8,144,4456078
13040,1154000,0.8,144,4465106
13039,1154000,0.8,144,4442902
13038,1154000,0.8,144,4470718
13037,1154000,0.8,144,4453394
13036,1154000,0.8,144,4456810
13035,1154000,0.8,144,4443390
13034,1154000,0.8,144,4472670
13033,1154000,0.8,144,4445342
13032,1154000,0.8,144,4446562
13031,1154000,0.8,144,4478038
13030,1154000,0.8,144,4453638
13029,1154000,0.8,144,4446074
13028,1154000,0.8,144,4452174
13027,1154000,0.8,144,4467790
13026,1154000,0.8,144,4457542
13025,1154000,0.8,144,4441682
13024,1154000,0.8,144,4449490
13023,1154000,0.8,144,4462666
13022,1154000,0.8,144,4453638
13021,1154000,0.8,144,4469010
13020,1154000,0.8,144,4455346
13019,1154000,0.8,192,4420674
13018,1154000,0.8,192,4433118
13017,1154000,0.8,192,4455810
13016,1154000,0.8,192,4437022
13015,1154000,0.8,192,4424578
13014,1154000,0.8,192,4434094
13013,1154000,0.8,192,4413598
13012,1154000,0.8,192,4417014
13011,1154000,0.8,192,4427750
13010,1154000,0.8,192,4416770
13009,1154000,0.8,192,4445562
13008,1154000,0.8,192,4437510
13007,1154000,0.8,192,4397738
13006,1154000,0.8,192,4407254
13005,1154000,0.8,192,4442146
13004,1154000,0.8,192,4450930
13003,1154000,0.8,192,4449710
13002,1154000,0.8,192,4436778
13001,1154000,0.8,192,4446294
13000,1154000,0.8,192,4428970
12999,1154000,0.8,192,4429214
12998,1154000,0.8,192,4433118
12997,1154000,0.8,192,4403350
12996,1154000,0.8,192,4432142
12995,1154000,0.8,192,4413842
12994,1154000,0.8,192,4428482
12993,1154000,0.8,192,4420674
12992,1154000,0.8,192,4438730
12991,1154000,0.8,192,4441658
12990,1154000,0.8,192,4399202
12989,1154000,0.8,240,4434565
12988,1154000,0.8,240,4438713
12987,1154000,0.8,240,4447497
12986,1154000,0.8,240,4434077
12985,1154000,0.8,240,4418461
12984,1154000,0.8,240,4435541
12983,1154000,0.8,240,4430173
12982,1154000,0.8,240,4432125
12981,1154000,0.8,240,4434321
12980,1154000,0.8,240,4441885
12979,1154000,0.8,240,4407481
12978,1154000,0.8,240,4451401
12977,1154000,0.8,240,4430905
12976,1154000,0.8,240,4411385
12975,1154000,0.8,240,4431637
12974,1154000,0.8,240,4431393
12973,1154000,0.8,240,4450913
12972,1154000,0.8,240,4425781
12971,1154000,0.8,240,4440177
12970,1154000,0.8,240,4443349
12969,1154000,0.8,240,4424317
12968,1154000,0.8,240,4440665
12967,1154000,0.8,240,4449449
12966,1154000,0.8,240,4424317
12965,1154000,0.8,240,4416753
12964,1154000,0.8,240,4460917
12963,1154000,0.8,240,4445301
12962,1154000,0.8,240,4425537
12961,1154000,0.8,240,4443349
12960,1154000,0.8,240,4436517
12959,1204000,0.2,100,844376
12958,1204000,0.2,100,839984
12957,1204000,0.2,100,848036
12956,1204000,0.2,100,841936
12955,1204000,0.2,100,842424
12954,1204000,0.2,100,844864
12953,1204000,0.2,100,837788
12952,1204000,0.2,100,843156
12951,1204000,0.2,100,837056
12950,1204000,0.2,100,862432
12949,1204000,0.2,100,837300
12948,1204000,0.2,100,843888
12947,1204000,0.2,100,850720
12946,1204000,0.2,100,839008
12945,1204000,0.2,100,837544
12944,1204000,0.2,100,839252
12943,1204000,0.2,100,853160
12942,1204000,0.2,100,839984
12941,1204000,0.2,100,847792
12940,1204000,0.2,100,847548
12939,1204000,0.2,100,848768
12938,1204000,0.2,100,846816
12937,1204000,0.2,100,828516
12936,1204000,0.2,100,841204
12935,1204000,0.2,100,840960
12934,1204000,0.2,100,838276
12933,1204000,0.2,100,842912
12932,1204000,0.2,100,840716
12931,1204000,0.2,100,841448
12930,1204000,0.2,100,840960
12929,1204000,0.2,144,905648
12928,1204000,0.2,144,905648
12927,1204000,0.2,144,900280
12926,1204000,0.2,144,918092
12925,1204000,0.2,144,904184
12924,1204000,0.2,144,911504
12923,1204000,0.2,144,908332
12922,1204000,0.2,144,903940
12921,1204000,0.2,144,898328
12920,1204000,0.2,144,906624
12919,1204000,0.2,144,910040
12918,1204000,0.2,144,910284
12917,1204000,0.2,144,910284
12916,1204000,0.2,144,905160
12915,1204000,0.2,144,906868
12914,1204000,0.2,144,902476
12913,1204000,0.2,144,920776
12912,1204000,0.2,144,908820
12911,1204000,0.2,144,906624
12910,1204000,0.2,144,905404
12909,1204000,0.2,144,909064
12908,1204000,0.2,144,914676
12907,1204000,0.2,144,910040
12906,1204000,0.2,144,910040
12905,1204000,0.2,144,904672
12904,1204000,0.2,144,902964
12903,1204000,0.2,144,892472
12902,1204000,0.2,144,909064
12901,1204000,0.2,144,905160
12900,1204000,0.2,144,904672
12899,1204000,0.2,192,997506
12898,1204000,0.2,192,994334
12897,1204000,0.2,192,992626
12896,1204000,0.2,192,976278
12895,1204000,0.2,192,992138
12894,1204000,0.2,192,987258
12893,1204000,0.2,192,995310
12892,1204000,0.2,192,994090
12891,1204000,0.2,192,995066
12890,1204000,0.2,192,996774
12889,1204000,0.2,192,998482
12888,1204000,0.2,192,988966
12887,1204000,0.2,192,996042
12886,1204000,0.2,192,988478
12885,1204000,0.2,192,983110
12884,1204000,0.2,192,992382
12883,1204000,0.2,192,988478
12882,1204000,0.2,192,996286
12881,1204000,0.2,192,992138
12880,1204000,0.2,192,1000434
12879,1204000,0.2,192,991650
12878,1204000,0.2,192,993114
12877,1204000,0.2,192,992870
12876,1204000,0.2,192,996530
12875,1204000,0.2,192,996530
12874,1204000,0.2,192,989942
12873,1204000,0.2,192,986526
12872,1204000,0.2,192,983110
12871,1204000,0.2,192,992626
12870,1204000,0.2,192,996530
12869,1204000,0.2,240,1080147
12868,1204000,0.2,240,1086003
12867,1204000,0.2,240,1068923
12866,1204000,0.2,240,1089175
12865,1204000,0.2,240,1074047
12864,1204000,0.2,240,1088931
12863,1204000,0.2,240,1079903
12862,1204000,0.2,240,1076731
12861,1204000,0.2,240,1086491
12860,1204000,0.2,240,1077463
12859,1204000,0.2,240,1071851
12858,1204000,0.2,240,1078927
12857,1204000,0.2,240,1083319
12856,1204000,0.2,240,1076243
12855,1204000,0.2,240,1072827
12854,1204000,0.2,240,1082587
12853,1204000,0.2,240,1084783
12852,1204000,0.2,240,1076975
12851,1204000,0.2,240,1081123
12850,1204000,0.2,240,1079415
12849,1204000,0.2,240,1073559
12848,1204000,0.2,240,1077707
12847,1204000,0.2,240,1072095
12846,1204000,0.2,240,1077707
12845,1204000,0.2,240,1082831
12844,1204000,0.2,240,1070143
12843,1204000,0.2,240,1078195
12842,1204000,0.2,240,1070875
12841,1204000,0.2,240,1082831
12840,1204000,0.2,240,1077219
12839,1204000,0.5,100,1678224
12838,1204000,0.5,100,1685544
12837,1204000,0.5,100,1680420
12836,1204000,0.5,100,1661388
12835,1204000,0.5,100,1676028
12834,1204000,0.5,100,1670172
12833,1204000,0.5,100,1676272
12832,1204000,0.5,100,1684080
12831,1204000,0.5,100,1681152
12830,1204000,0.5,100,1670660
12829,1204000,0.5,100,1687496
12828,1204000,0.5,100,1682128
12827,1204000,0.5,100,1669440
12826,1204000,0.5,100,1678468
12825,1204000,0.5,100,1679932
12824,1204000,0.5,100,1674320
12823,1204000,0.5,100,1685544
12822,1204000,0.5,100,1652604
12821,1204000,0.5,100,1660412
12820,1204000,0.5,100,1664560
12819,1204000,0.5,100,1680664
12818,1204000,0.5,100,1681152
12817,1204000,0.5,100,1677004
12816,1204000,0.5,100,1676272
12815,1204000,0.5,100,1678956
12814,1204000,0.5,100,1676028
12813,1204000,0.5,100,1677736
12812,1204000,0.5,100,1673588
12811,1204000,0.5,100,1685056
12810,1204000,0.5,100,1687252
12809,1204000,0.5,144,1714058
12808,1204000,0.5,144,1704054
12807,1204000,0.5,144,1706738
12806,1204000,0.5,144,1716742
12805,1204000,0.5,144,1701858
12804,1204000,0.5,144,1711862
12803,1204000,0.5,144,1717962
12802,1204000,0.5,144,1716254
12801,1204000,0.5,144,1720890
12800,1204000,0.5,144,1715278
12799,1204000,0.5,144,1707226
12798,1204000,0.5,144,1705030
12797,1204000,0.5,144,1714058
12796,1204000,0.5,144,1704542
12795,1204000,0.5,144,1728454
12794,1204000,0.5,144,1728210
12793,1204000,0.5,144,1708934
12792,1204000,0.5,144,1698686
12791,1204000,0.5,144,1716498
12790,1204000,0.5,144,1723818
12789,1204000,0.5,144,1705518
12788,1204000,0.5,144,1713082
12787,1204000,0.5,144,1723086
12786,1204000,0.5,144,1713326
12785,1204000,0.5,144,1705518
12784,1204000,0.5,144,1715034
12783,1204000,0.5,144,1709910
12782,1204000,0.5,144,1721866
12781,1204000,0.5,144,1714790
12780,1204000,0.5,144,1708934
12779,1204000,0.5,192,1761745
12778,1204000,0.5,192,1771261
12777,1204000,0.5,192,1771993
12776,1204000,0.5,192,1781997
12775,1204000,0.5,192,1752229
12774,1204000,0.5,192,1765893
12773,1204000,0.5,192,1780289
12772,1204000,0.5,192,1782973
12771,1204000,0.5,192,1774677
12770,1204000,0.5,192,1768089
12769,1204000,0.5,192,1765161
12768,1204000,0.5,192,1774433
12767,1204000,0.5,192,1771993
12766,1204000,0.5,192,1777361
12765,1204000,0.5,192,1779069
12764,1204000,0.5,192,1779801
12763,1204000,0.5,192,1766137
12762,1204000,0.5,192,1789561
12761,1204000,0.5,192,1776873
12760,1204000,0.5,192,1773701
12759,1204000,0.5,192,1775165
12758,1204000,0.5,192,1753205
12757,1204000,0.5,192,1781997
12756,1204000,0.5,192,1775897
12755,1204000,0.5,192,1753693
12754,1204000,0.5,192,1759793
12753,1204000,0.5,192,1768089
12752,1204000,0.5,192,1771993
12751,1204000,0.5,192,1768089
12750,1204000,0.5,192,1773701
12749,1204000,0.5,240,1835516
12748,1204000,0.5,240,1834540
12747,1204000,0.5,240,1849912
12746,1204000,0.5,240,1833564
12745,1204000,0.5,240,1835272
12744,1204000,0.5,240,1826732
12743,1204000,0.5,240,1835272
12742,1204000,0.5,240,1852596
12741,1204000,0.5,240,1826000
12740,1204000,0.5,240,1832832
12739,1204000,0.5,240,1830636
12738,1204000,0.5,240,1835516
12737,1204000,0.5,240,1844056
12736,1204000,0.5,240,1836736
12735,1204000,0.5,240,1826976
12734,1204000,0.5,240,1843324
12733,1204000,0.5,240,1833076
12732,1204000,0.5,240,1830148
12731,1204000,0.5,240,1846740
12730,1204000,0.5,240,1842836
12729,1204000,0.5,240,1841616
12728,1204000,0.5,240,1825512
12727,1204000,0.5,240,1842348
12726,1204000,0.5,240,1835028
12725,1204000,0.5,240,1836736
12724,1204000,0.5,240,1848204
12723,1204000,0.5,240,1843324
12722,1204000,0.5,240,1858208
12721,1204000,0.5,240,1852596
12720,1204000,0.5,240,1843080
12719,1204000,0.8,100,4577903
12718,1204000,0.8,100,4554235
12717,1204000,0.8,100,4582051
12716,1204000,0.8,100,4564483
12715,1204000,0.8,100,4549355
12714,1204000,0.8,100,4540083
12713,1204000,0.8,100,4570583
12712,1204000,0.8,100,4556675
12711,1204000,0.8,100,4557407
12710,1204000,0.8,100,4575951
12709,1204000,0.8,100,4569363
12708,1204000,0.8,100,4581563
12707,1204000,0.8,100,4578391
12706,1204000,0.8,100,4542279
12705,1204000,0.8,100,4558627
12704,1204000,0.8,100,4592299
12703,1204000,0.8,100,4557163
12702,1204000,0.8,100,4598155
12701,1204000,0.8,100,4579367
12700,1204000,0.8,100,4572779
12699,1204000,0.8,100,4595471
12698,1204000,0.8,100,4603279
12697,1204000,0.8,100,4571071
12696,1204000,0.8,100,4576195
12695,1204000,0.8,100,4552771
12694,1204000,0.8,100,4573023
12693,1204000,0.8,100,4563507
12692,1204000,0.8,100,4572535
12691,1204000,0.8,100,4575707
12690,1204000,0.8,100,4566679
12689,1204000,0.8,144,4506483
12688,1204000,0.8,144,4524295
12687,1204000,0.8,144,4498675
12686,1204000,0.8,144,4518927
12685,1204000,0.8,144,4523319
12684,1204000,0.8,144,4470371
12683,1204000,0.8,144,4491599
12682,1204000,0.8,144,4520391
12681,1204000,0.8,144,4523807
12680,1204000,0.8,144,4489159
12679,1204000,0.8,144,4522831
12678,1204000,0.8,144,4512339
12677,1204000,0.8,144,4501115
12676,1204000,0.8,144,4519415
12675,1204000,0.8,144,4507459
12674,1204000,0.8,144,4509167
12673,1204000,0.8,144,4538691
12672,1204000,0.8,144,4499895
12671,1204000,0.8,144,4532103
12670,1204000,0.8,144,4512827
12669,1204000,0.8,144,4511607
12668,1204000,0.8,144,4502823
12667,1204000,0.8,144,4495259
12666,1204000,0.8,144,4499407
12665,1204000,0.8,144,4505263
12664,1204000,0.8,144,4488183
12663,1204000,0.8,144,4494527
12662,1204000,0.8,144,4502823
12661,1204000,0.8,144,4532835
12660,1204000,0.8,144,4508435
12659,1204000,0.8,192,4482248
12658,1204000,0.8,192,4470780
12657,1204000,0.8,192,4466876
12656,1204000,0.8,192,4467852
12655,1204000,0.8,192,4472488
12654,1204000,0.8,192,4460288
12653,1204000,0.8,192,4489568
12652,1204000,0.8,192,4463948
12651,1204000,0.8,192,4496400
12650,1204000,0.8,192,4489568
12649,1204000,0.8,192,4484444
12648,1204000,0.8,192,4463948
12647,1204000,0.8,192,4460288
12646,1204000,0.8,192,4477124
12645,1204000,0.8,192,4493472
12644,1204000,0.8,192,4491764
12643,1204000,0.8,192,4482980
12642,1204000,0.8,192,4477124
12641,1204000,0.8,192,4483712
12640,1204000,0.8,192,4465900
12639,1204000,0.8,192,4473952
12638,1204000,0.8,192,4506160
12637,1204000,0.8,192,4474440
12636,1204000,0.8,192,4462484
12635,1204000,0.8,192,4469560
12634,1204000,0.8,192,4500792
12633,1204000,0.8,192,4485664
12632,1204000,0.8,192,4484688
12631,1204000,0.8,192,4463216
12630,1204000,0.8,192,4494692
12629,1204000,0.8,240,4499799
12628,1204000,0.8,240,4486135
12627,1204000,0.8,240,4480767
12626,1204000,0.8,240,4472715
12625,1204000,0.8,240,4464663
12624,1204000,0.8,240,4498335
12623,1204000,0.8,240,4487599
12622,1204000,0.8,240,4465883
12621,1204000,0.8,240,4472227
12620,1204000,0.8,240,4502239
12619,1204000,0.8,240,4486623
12618,1204000,0.8,240,4482475
12617,1204000,0.8,240,4462223
12616,1204000,0.8,240,4477839
12615,1204000,0.8,240,4467347
12614,1204000,0.8,240,4485403
12613,1204000,0.8,240,4447827
12612,1204000,0.8,240,4485891
12611,1204000,0.8,240,4481011
12610,1204000,0.8,240,4472715
12609,1204000,0.8,240,4479547
12608,1204000,0.8,240,4487355
12607,1204000,0.8,240,4485159
12606,1204000,0.8,240,4483451
12605,1204000,0.8,240,4464907
12604,1204000,0.8,240,4482963
12603,1204000,0.8,240,4496627
12602,1204000,0.8,240,4498823
12601,1204000,0.8,240,4472471
12600,1204000,0.8,240,4465639
12599,1254000,0.2,100,856143
12598,1254000,0.2,100,846871
12597,1254000,0.2,100,844919
12596,1254000,0.2,100,841503
12595,1254000,0.2,100,848335
12594,1254000,0.2,100,852239
12593,1254000,0.2,100,852483
12592,1254000,0.2,100,841015
12591,1254000,0.2,100,852727
12590,1254000,0.2,100,852239
12589,1254000,0.2,100,843211
12588,1254000,0.2,100,849555
12587,1254000,0.2,100,846383
12586,1254000,0.2,100,854191
12585,1254000,0.2,100,847603
12584,1254000,0.2,100,839795
12583,1254000,0.2,100,855167
12582,1254000,0.2,100,845407
12581,1254000,0.2,100,842479
12580,1254000,0.2,100,856387
12579,1254000,0.2,100,842723
12578,1254000,0.2,100,844431
12577,1254000,0.2,100,839795
12576,1254000,0.2,100,841259
12575,1254000,0.2,100,848091
12574,1254000,0.2,100,848335
12573,1254000,0.2,100,849555
12572,1254000,0.2,100,843943
12571,1254000,0.2,100,833939
12570,1254000,0.2,100,842723
12569,1254000,0.2,144,916439
12568,1254000,0.2,144,913511
12567,1254000,0.2,144,918391
12566,1254000,0.2,144,913511
12565,1254000,0.2,144,901067
12564,1254000,0.2,144,910583
12563,1254000,0.2,144,912047
12562,1254000,0.2,144,927907
12561,1254000,0.2,144,921563
12560,1254000,0.2,144,920343
12559,1254000,0.2,144,918879
12558,1254000,0.2,144,916927
12557,1254000,0.2,144,905947
12556,1254000,0.2,144,909851
12555,1254000,0.2,144,911803
12554,1254000,0.2,144,917903
12553,1254000,0.2,144,923515
12552,1254000,0.2,144,910827
12551,1254000,0.2,144,916683
12550,1254000,0.2,144,921075
12549,1254000,0.2,144,908631
12548,1254000,0.2,144,906923
12547,1254000,0.2,144,908631
12546,1254000,0.2,144,924003
12545,1254000,0.2,144,910095
12544,1254000,0.2,144,910339
12543,1254000,0.2,144,913023
12542,1254000,0.2,144,912047
12541,1254000,0.2,144,912047
12540,1254000,0.2,144,924735
12539,1254000,0.2,192,987801
12538,1254000,0.2,192,1009029
12537,1254000,0.2,192,999757
12536,1254000,0.2,192,998293
12535,1254000,0.2,192,990729
12534,1254000,0.2,192,998781
12533,1254000,0.2,192,1005613
12532,1254000,0.2,192,1002685
12531,1254000,0.2,192,999757
12530,1254000,0.2,192,1003417
12529,1254000,0.2,192,989021
12528,1254000,0.2,192,995121
12527,1254000,0.2,192,992681
12526,1254000,0.2,192,994389
12525,1254000,0.2,192,996097
12524,1254000,0.2,192,999269
12523,1254000,0.2,192,994877
12522,1254000,0.2,192,1003905
12521,1254000,0.2,192,1006101
12520,1254000,0.2,192,989021
12519,1254000,0.2,192,997561
12518,1254000,0.2,192,995609
12517,1254000,0.2,192,995853
12516,1254000,0.2,192,992437
12515,1254000,0.2,192,1000733
12514,1254000,0.2,192,1001953
12513,1254000,0.2,192,996585
12512,1254000,0.2,192,995365
12511,1254000,0.2,192,997317
12510,1254000,0.2,192,1007077
12509,1254000,0.2,240,1079226
12508,1254000,0.2,240,1082398
12507,1254000,0.2,240,1091426
12506,1254000,0.2,240,1088498
12505,1254000,0.2,240,1088254
12504,1254000,0.2,240,1086546
12503,1254000,0.2,240,1082154
12502,1254000,0.2,240,1085082
12501,1254000,0.2,240,1082154
12500,1254000,0.2,240,1081178
12499,1254000,0.2,240,1070686
12498,1254000,0.2,240,1092646
12497,1254000,0.2,240,1081666
12496,1254000,0.2,240,1093378
12495,1254000,0.2,240,1085326
12494,1254000,0.2,240,1085326
12493,1254000,0.2,240,1082154
12492,1254000,0.2,240,1073858
12491,1254000,0.2,240,1088498
12490,1254000,0.2,240,1082642
12489,1254000,0.2,240,1090694
12488,1254000,0.2,240,1091914
12487,1254000,0.2,240,1081178
12486,1254000,0.2,240,1072394
12485,1254000,0.2,240,1083130
12484,1254000,0.2,240,1074346
12483,1254000,0.2,240,1087034
12482,1254000,0.2,240,1085326
12481,1254000,0.2,240,1082886
12480,1254000,0.2,240,1079226
12479,1254000,0.5,100,1691022
12478,1254000,0.5,100,1672234
12477,1254000,0.5,100,1685898
12476,1254000,0.5,100,1703466
12475,1254000,0.5,100,1718106
12474,1254000,0.5,100,1691510
12473,1254000,0.5,100,1705906
12472,1254000,0.5,100,1697610
12471,1254000,0.5,100,1685898
12470,1254000,0.5,100,1691266
12469,1254000,0.5,100,1707126
12468,1254000,0.5,100,1694682
12467,1254000,0.5,100,1693950
12466,1254000,0.5,100,1697854
12465,1254000,0.5,100,1677602
12464,1254000,0.5,100,1682482
12463,1254000,0.5,100,1690534
12462,1254000,0.5,100,1679798
12461,1254000,0.5,100,1683458
12460,1254000,0.5,100,1677358
12459,1254000,0.5,100,1703222
12458,1254000,0.5,100,1672478
12457,1254000,0.5,100,1690778
12456,1254000,0.5,100,1679554
12455,1254000,0.5,100,1712982
12454,1254000,0.5,100,1701026
12453,1254000,0.5,100,1708590
12452,1254000,0.5,100,1688338
12451,1254000,0.5,100,1687606
12450,1254000,0.5,100,1686630
12449,1254000,0.5,144,1719292
12448,1254000,0.5,144,1726124
12447,1254000,0.5,144,1738080
12446,1254000,0.5,144,1738080
12445,1254000,0.5,144,1749548
12444,1254000,0.5,144,1728076
12443,1254000,0.5,144,1726368
12442,1254000,0.5,144,1717584
12441,1254000,0.5,144,1723684
12440,1254000,0.5,144,1744668
12439,1254000,0.5,144,1726856
12438,1254000,0.5,144,1743448
12437,1254000,0.5,144,1728564
12436,1254000,0.5,144,1719048
12435,1254000,0.5,144,1713192
12434,1254000,0.5,144,1724416
12433,1254000,0.5,144,1737592
12432,1254000,0.5,144,1728076
12431,1254000,0.5,144,1726368
12430,1254000,0.5,144,1720512
12429,1254000,0.5,144,1743448
12428,1254000,0.5,144,1714412
12427,1254000,0.5,144,1725636
12426,1254000,0.5,144,1725392
12425,1254000,0.5,144,1737104
12424,1254000,0.5,144,1730516
12423,1254000,0.5,144,1716852
12422,1254000,0.5,144,1727344
12421,1254000,0.5,144,1726856
12420,1254000,0.5,144,1728320
12419,1254000,0.5,192,1767223
12418,1254000,0.5,192,1793819
12417,1254000,0.5,192,1803579
12416,1254000,0.5,192,1786987
12415,1254000,0.5,192,1772347
12414,1254000,0.5,192,1772347
12413,1254000,0.5,192,1794307
12412,1254000,0.5,192,1787231
12411,1254000,0.5,192,1787475
12410,1254000,0.5,192,1804067
12409,1254000,0.5,192,1788451
12408,1254000,0.5,192,1780155
12407,1254000,0.5,192,1773567
12406,1254000,0.5,192,1785767
12405,1254000,0.5,192,1781375
12404,1254000,0.5,192,1785767
12403,1254000,0.5,192,1787963
12402,1254000,0.5,192,1785767
12401,1254000,0.5,192,1778447
12400,1254000,0.5,192,1779911
12399,1254000,0.5,192,1794307
12398,1254000,0.5,192,1783083
12397,1254000,0.5,192,1789427
12396,1254000,0.5,192,1775031
12395,1254000,0.5,192,1796503
12394,1254000,0.5,192,1798211
12393,1254000,0.5,192,1776983
12392,1254000,0.5,192,1782351
12391,1254000,0.5,192,1766979
12390,1254000,0.5,192,1781619
12389,1254000,0.5,240,1845874
12388,1254000,0.5,240,1848802
12387,1254000,0.5,240,1857830
12386,1254000,0.5,240,1861002
12385,1254000,0.5,240,1841726
12384,1254000,0.5,240,1847094
12383,1254000,0.5,240,1845142
12382,1254000,0.5,240,1846606
12381,1254000,0.5,240,1848802
12380,1254000,0.5,240,1853682
12379,1254000,0.5,240,1863442
12378,1254000,0.5,240,1861002
12377,1254000,0.5,240,1860026
12376,1254000,0.5,240,1864662
12375,1254000,0.5,240,1844410
12374,1254000,0.5,240,1862466
12373,1254000,0.5,240,1850754
12372,1254000,0.5,240,1844166
12371,1254000,0.5,240,1853194
12370,1254000,0.5,240,1838066
12369,1254000,0.5,240,1845386
12368,1254000,0.5,240,1860270
12367,1254000,0.5,240,1863686
12366,1254000,0.5,240,1851974
12365,1254000,0.5,240,1853682
12364,1254000,0.5,240,1847582
12363,1254000,0.5,240,1863930
12362,1254000,0.5,240,1860026
12361,1254000,0.5,240,1832454
12360,1254000,0.5,240,1855390
12359,1254000,0.8,100,4614400
12358,1254000,0.8,100,4674180
12357,1254000,0.8,100,4599272
12356,1254000,0.8,100,4608300
12355,1254000,0.8,100,4599516
12354,1254000,0.8,100,4591952
12353,1254000,0.8,100,4620988
12352,1254000,0.8,100,4625624
12351,1254000,0.8,100,4628796
12350,1254000,0.8,100,4612204
12349,1254000,0.8,100,4585608
12348,1254000,0.8,100,4642704
12347,1254000,0.8,100,4609032
12346,1254000,0.8,100,4605128
12345,1254000,0.8,100,4603420
12344,1254000,0.8,100,4660028
12343,1254000,0.8,100,4603176
12342,1254000,0.8,100,4608544
12341,1254000,0.8,100,4604152
12340,1254000,0.8,100,4620744
12339,1254000,0.8,100,4616840
12338,1254000,0.8,100,4619280
12337,1254000,0.8,100,4643924
12336,1254000,0.8,100,4629528
12335,1254000,0.8,100,4608544
12334,1254000,0.8,100,4629772
12333,1254000,0.8,100,4639532
12332,1254000,0.8,100,4592928
12331,1254000,0.8,100,4626600
12330,1254000,0.8,100,4621964
12329,1254000,0.8,144,4543413
12328,1254000,0.8,144,4560981
12327,1254000,0.8,144,4559273
12326,1254000,0.8,144,4540241
12325,1254000,0.8,144,4577573
12324,1254000,0.8,144,4533653
12323,1254000,0.8,144,4545609
12322,1254000,0.8,144,4549513
12321,1254000,0.8,144,4546341
12320,1254000,0.8,144,4540973
12319,1254000,0.8,144,4552929
12318,1254000,0.8,144,4509009
12317,1254000,0.8,144,4561469
12316,1254000,0.8,144,4508033
12315,1254000,0.8,144,4527065
12314,1254000,0.8,144,4530481
12313,1254000,0.8,144,4553905
12312,1254000,0.8,144,4531213
12311,1254000,0.8,144,4536825
12310,1254000,0.8,144,4555369
12309,1254000,0.8,144,4544633
12308,1254000,0.8,144,4526089
12307,1254000,0.8,144,4559029
12306,1254000,0.8,144,4530237
12305,1254000,0.8,144,4541461
12304,1254000,0.8,144,4544633
12303,1254000,0.8,144,4559761
12302,1254000,0.8,144,4564153
12301,1254000,0.8,144,4563909
12300,1254000,0.8,144,4533409
12299,1254000,0.8,192,4514786
12298,1254000,0.8,192,4545286
12297,1254000,0.8,192,4509662
12296,1254000,0.8,192,4529426
12295,1254000,0.8,192,4514298
12294,1254000,0.8,192,4505514
12293,1254000,0.8,192,4507954
12292,1254000,0.8,192,4514298
12291,1254000,0.8,192,4512102
12290,1254000,0.8,192,4531134
12289,1254000,0.8,192,4516006
12288,1254000,0.8,192,4520154
12287,1254000,0.8,192,4523570
12286,1254000,0.8,192,4516250
12285,1254000,0.8,192,4527230
12284,1254000,0.8,192,4518446
12283,1254000,0.8,192,4526010
12282,1254000,0.8,192,4508198
12281,1254000,0.8,192,4519422
12280,1254000,0.8,192,4525766
12279,1254000,0.8,192,4530646
12278,1254000,0.8,192,4521618
12277,1254000,0.8,192,4505758
12276,1254000,0.8,192,4511858
12275,1254000,0.8,192,4476966
12274,1254000,0.8,192,4521374
12273,1254000,0.8,192,4510150
12272,1254000,0.8,192,4529914
12271,1254000,0.8,192,4523082
12270,1254000,0.8,192,4544798
12269,1254000,0.8,240,4568016
12268,1254000,0.8,240,4528732
12267,1254000,0.8,240,4536296
12266,1254000,0.8,240,4520680
12265,1254000,0.8,240,4527024
12264,1254000,0.8,240,4513604
12263,1254000,0.8,240,4529952
12262,1254000,0.8,240,4537272
12261,1254000,0.8,240,4544348
12260,1254000,0.8,240,4535808
12259,1254000,0.8,240,4554840
12258,1254000,0.8,240,4532636
12257,1254000,0.8,240,4533856
12256,1254000,0.8,240,4522144
12255,1254000,0.8,240,4513360
12254,1254000,0.8,240,4534100
12253,1254000,0.8,240,4527024
12252,1254000,0.8,240,4542640
12251,1254000,0.8,240,4508968
12250,1254000,0.8,240,4512628
12249,1254000,0.8,240,4535320
12248,1254000,0.8,240,4534344
12247,1254000,0.8,240,4537272
12246,1254000,0.8,240,4559476
12245,1254000,0.8,240,4530440
12244,1254000,0.8,240,4551668
12243,1254000,0.8,240,4551424
12242,1254000,0.8,240,4534832
12241,1254000,0.8,240,4520192
12240,1254000,0.8,240,4516776
12239,1304000,0.2,100,858638
12238,1304000,0.2,100,848634
12237,1304000,0.2,100,854002
12236,1304000,0.2,100,848878
12235,1304000,0.2,100,862054
12234,1304000,0.2,100,845950
12233,1304000,0.2,100,871082
12232,1304000,0.2,100,858882
12231,1304000,0.2,100,848146
12230,1304000,0.2,100,860346
12229,1304000,0.2,100,863518
12228,1304000,0.2,100,852782
12227,1304000,0.2,100,852050
12226,1304000,0.2,100,862298
12225,1304000,0.2,100,848146
12224,1304000,0.2,100,859614
12223,1304000,0.2,100,846926
12222,1304000,0.2,100,853270
12221,1304000,0.2,100,858150
12220,1304000,0.2,100,856198
12219,1304000,0.2,100,864738
12218,1304000,0.2,100,859370
12217,1304000,0.2,100,835458
12216,1304000,0.2,100,847902
