,height,c,L,size
14938,904000,0.5,192,1248822
14937,904000,0.5,192,1257606
14936,904000,0.5,192,1263950
14935,904000,0.5,192,1243698
14934,904000,0.5,192,1257118
14933,904000,0.5,192,1255898
14932,904000,0.5,192,1262974
14931,904000,0.5,192,1261022
14930,904000,0.5,192,1252726
14929,904000,0.5,192,1256874
14928,904000,0.5,192,1263706
14927,904000,0.5,192,1261754
14926,904000,0.5,192,1253458
14925,904000,0.5,192,1263462
14924,904000,0.5,192,1259314
14923,904000,0.5,192,1264682
14922,904000,0.5,192,1262730
14921,904000,0.5,192,1265658
14920,904000,0.5,192,1270294
14919,904000,0.5,192,1249554
14918,904000,0.5,192,1263706
14917,904000,0.5,192,1262486
14916,904000,0.5,192,1249066
14915,904000,0.5,192,1266634
14914,904000,0.5,192,1254434
14913,904000,0.5,192,1251262
14912,904000,0.5,192,1241990
14911,904000,0.5,192,1255166
14910,904000,0.5,192,1256874
14909,904000,0.5,240,1337721
14908,904000,0.5,240,1344553
14907,904000,0.5,240,1333085
14906,904000,0.5,240,1347237
14905,904000,0.5,240,1338209
14904,904000,0.5,240,1331865
14903,904000,0.5,240,1329669
14902,904000,0.5,240,1321129
14901,904000,0.5,240,1335525
14900,904000,0.5,240,1342845
14899,904000,0.5,240,1321861
14898,904000,0.5,240,1343089
14897,904000,0.5,240,1336989
14896,904000,0.5,240,1333817
14895,904000,0.5,240,1323081
14894,904000,0.5,240,1330157
14893,904000,0.5,240,1335525
14892,904000,0.5,240,1332353
14891,904000,0.5,240,1337233
14890,904000,0.5,240,1332597
14889,904000,0.5,240,1333817
14888,904000,0.5,240,1350165
14887,904000,0.5,240,1333573
14886,904000,0.5,240,1343333
14885,904000,0.5,240,1333573
14884,904000,0.5,240,1344797
14883,904000,0.5,240,1340161
14882,904000,0.5,240,1337965
14881,904000,0.5,240,1333817
14880,904000,0.5,240,1329913
14879,904000,0.8,100,2790382
14878,904000,0.8,100,2787210
14877,904000,0.8,100,2784770
14876,904000,0.8,100,2779402
14875,904000,0.8,100,2793066
14874,904000,0.8,100,2789650
14873,904000,0.8,100,2792822
14872,904000,0.8,100,2774766
14871,904000,0.8,100,2799166
14870,904000,0.8,100,2798434
14869,904000,0.8,100,2791846
14868,904000,0.8,100,2798434
14867,904000,0.8,100,2781842
14866,904000,0.8,100,2784526
14865,904000,0.8,100,2780134
14864,904000,0.8,100,2786234
14863,904000,0.8,100,2788186
14862,904000,0.8,100,2791358
14861,904000,0.8,100,2797946
14860,904000,0.8,100,2781598
14859,904000,0.8,100,2794774
14858,904000,0.8,100,2778426
14857,904000,0.8,100,2785990
14856,904000,0.8,100,2793066
14855,904000,0.8,100,2785746
14854,904000,0.8,100,2792090
14853,904000,0.8,100,2788674
14852,904000,0.8,100,2780134
14851,904000,0.8,100,2788430
14850,904000,0.8,100,2784770
14849,904000,0.8,144,2787227
14848,904000,0.8,144,2779663
14847,904000,0.8,144,2766975
14846,904000,0.8,144,2769903
14845,904000,0.8,144,2789423
14844,904000,0.8,144,2769903
14843,904000,0.8,144,2764779
14842,904000,0.8,144,2780151
14841,904000,0.8,144,2771367
14840,904000,0.8,144,2781859
14839,904000,0.8,144,2775515
14838,904000,0.8,144,2777955
14837,904000,0.8,144,2775759
14836,904000,0.8,144,2767219
14835,904000,0.8,144,2786983
14834,904000,0.8,144,2772831
14833,904000,0.8,144,2785275
14832,904000,0.8,144,2779175
14831,904000,0.8,144,2768927
14830,904000,0.8,144,2776003
14829,904000,0.8,144,2780639
14828,904000,0.8,144,2779419
14827,904000,0.8,144,2781615
14826,904000,0.8,144,2782347
14825,904000,0.8,144,2781127
14824,904000,0.8,144,2786251
14823,904000,0.8,144,2780151
14822,904000,0.8,144,2773319
14821,904000,0.8,144,2776979
14820,904000,0.8,144,2782591
14819,904000,0.8,192,2784031
14818,904000,0.8,192,2794279
14817,904000,0.8,192,2799647
14816,904000,0.8,192,2799891
14815,904000,0.8,192,2799159
14814,904000,0.8,192,2792083
14813,904000,0.8,192,2796231
14812,904000,0.8,192,2787203
14811,904000,0.8,192,2785007
14810,904000,0.8,192,2786715
14809,904000,0.8,192,2795255
14808,904000,0.8,192,2787935
14807,904000,0.8,192,2784519
14806,904000,0.8,192,2794523
14805,904000,0.8,192,2800623
14804,904000,0.8,192,2792571
14803,904000,0.8,192,2789399
14802,904000,0.8,192,2789155
14801,904000,0.8,192,2782079
14800,904000,0.8,192,2799647
14799,904000,0.8,192,2797207
14798,904000,0.8,192,2795255
14797,904000,0.8,192,2783787
14796,904000,0.8,192,2776711
14795,904000,0.8,192,2796475
14794,904000,0.8,192,2791351
14793,904000,0.8,192,2787935
14792,904000,0.8,192,2800379
14791,904000,0.8,192,2788911
14790,904000,0.8,192,2800135
14789,904000,0.8,240,2815490
